"product","province","period","price1","price2","price3","year"
"C","10",2018-06-01,95.39,95.14,NA,2018-01-01
"D","10",2018-06-01,68.36,66.19,75.48,2018-01-01
"E","10",2018-06-01,102.99,110.3,98.03,2018-01-01
"F","10",2018-06-01,76.05,71.18,84.35,2018-01-01
"G","10",2018-06-01,131.93,139.3,123.39,2018-01-01
"H","10",2018-06-01,102.15,98.01,110.38,2018-01-01
"J","10",2018-06-01,118.13,113.89,122,2018-01-01
"A","11",2018-06-01,80.91,79,84.84,2018-01-01
"B","11",2018-06-01,50.37,52.58,58.98,2018-01-01
"C","11",2018-06-01,65.39,71.55,NA,2018-01-01
"D","11",2018-06-01,59.07,52.67,55.09,2018-01-01
"E","11",2018-06-01,111.36,116.76,103.42,2018-01-01
"F","11",2018-06-01,118.96,117.09,118.02,2018-01-01
"G","11",2018-06-01,104.08,98.79,106.21,2018-01-01
"H","11",2018-06-01,80.72,83.11,79.99,2018-01-01
"J","11",2018-06-01,119.09,110.49,114.13,2018-01-01
"A","12",2018-06-01,51.27,52.55,46.28,2018-01-01
"B","12",2018-06-01,72.77,68.47,72.38,2018-01-01
"C","12",2018-06-01,52.51,55.19,NA,2018-01-01
"D","12",2018-06-01,49.29,45.8,50.22,2018-01-01
"E","12",2018-06-01,64.64,65.67,67.04,2018-01-01
"F","12",2018-06-01,130.26,128.04,127.23,2018-01-01
"G","12",2018-06-01,111.01,105.58,109.72,2018-01-01
"H","12",2018-06-01,65.94,61.03,71.96,2018-01-01
"J","12",2018-06-01,109.7,107.55,118.19,2018-01-01
"A","13",2018-06-01,44.44,41,48.71,2018-01-01
"B","13",2018-06-01,58.94,54.95,63.15,2018-01-01
"C","13",2018-06-01,81.06,73,NA,2018-01-01
"D","13",2018-06-01,63.31,69.18,71.04,2018-01-01
"E","13",2018-06-01,134.13,140.54,133.87,2018-01-01
"F","13",2018-06-01,85.7,84.44,83.09,2018-01-01
"G","13",2018-06-01,81.99,89.56,84.72,2018-01-01
"H","13",2018-06-01,120.68,123.52,117.39,2018-01-01
"J","13",2018-06-01,73.84,79.69,69.75,2018-01-01
"A","24",2018-06-01,68.4,62.97,74.64,2018-01-01
"B","24",2018-06-01,69.72,72.42,63.86,2018-01-01
"C","24",2018-06-01,72.31,67.72,68.88,2018-01-01
"D","24",2018-06-01,64.67,65.2,70.65,2018-01-01
"E","24",2018-06-01,96.45,94.4,102.39,2018-01-01
"F","24",2018-06-01,70.26,74.41,74.86,2018-01-01
"G","24",2018-06-01,86.6,81.24,79.73,2018-01-01
"H","24",2018-06-01,110.98,103.58,113.07,2018-01-01
"J","24",2018-06-01,89.74,96.41,92.81,2018-01-01
"A","35",2018-06-01,40.92,34.02,32.68,2018-01-01
"B","35",2018-06-01,81.49,79.56,77.6,2018-01-01
"C","35",2018-06-01,51.12,56.27,52.86,2018-01-01
"D","35",2018-06-01,50.01,51.21,49.48,2018-01-01
"E","35",2018-06-01,72.27,70.95,79.57,2018-01-01
"F","35",2018-06-01,55.85,56.7,61.35,2018-01-01
"G","35",2018-06-01,64.51,67.41,60.22,2018-01-01
"H","35",2018-06-01,93.8,95.91,99.11,2018-01-01
"J","35",2018-06-01,103.74,111.59,100.57,2018-01-01
"A","46",2018-06-01,47.24,43.52,47.83,2018-01-01
"B","46",2018-06-01,71.34,65.15,72.64,2018-01-01
"C","46",2018-06-01,42.21,40.66,49.54,2018-01-01
"D","46",2018-06-01,60.25,58.19,67.6,2018-01-01
"E","46",2018-06-01,123.65,115.78,130.44,2018-01-01
"F","46",2018-06-01,110.31,102.53,115.63,2018-01-01
"G","46",2018-06-01,121.63,128.67,120.66,2018-01-01
"H","46",2018-06-01,72.44,68.18,69.46,2018-01-01
"J","46",2018-06-01,103.77,97.85,98.73,2018-01-01
"A","47",2018-06-01,52.14,60.45,56.4,2018-01-01
"B","47",2018-06-01,45.39,44.63,45.81,2018-01-01
"C","47",2018-06-01,88.44,79.69,92.89,2018-01-01
"D","47",2018-06-01,61.63,69.44,57.79,2018-01-01
"E","47",2018-06-01,85.5,81.58,81.94,2018-01-01
"F","47",2018-06-01,51.73,47.67,44.37,2018-01-01
"G","47",2018-06-01,44.21,42.38,45.79,2018-01-01
"H","47",2018-06-01,77.19,82.96,69.36,2018-01-01
"J","47",2018-06-01,131.2,125.01,126.59,2018-01-01
"A","48",2018-06-01,45.48,51.15,47.96,2018-01-01
"B","48",2018-06-01,92.74,92.18,97.5,2018-01-01
"C","48",2018-06-01,94.71,95.97,103.48,2018-01-01
"D","48",2018-06-01,46.14,47.67,48.84,2018-01-01
"E","48",2018-06-01,104.82,99.01,112.3,2018-01-01
"F","48",2018-06-01,81.3,72.82,89.98,2018-01-01
"G","48",2018-06-01,90.6,90.13,87.51,2018-01-01
"H","48",2018-06-01,96.43,94.39,91.68,2018-01-01
"J","48",2018-06-01,195.65,198.62,202.19,2018-01-01
"A","59",2018-06-01,45.78,46.83,41.77,2018-01-01
"B","59",2018-06-01,44.33,46.18,41.94,2018-01-01
"C","59",2018-06-01,61.4,69.38,58.72,2018-01-01
"D","59",2018-06-01,138.27,131.76,NA,2018-01-01
"E","59",2018-06-01,86.75,81.57,82.75,2018-01-01
"F","59",2018-06-01,55.85,55.17,NA,2018-01-01
"G","59",2018-06-01,76.17,78.67,75.79,2018-01-01
"H","59",2018-06-01,95.88,98.88,100.78,2018-01-01
"J","59",2018-06-01,84.43,84.7,77.6,2018-01-01
"A","10",2018-07-01,72.55,69.73,65.06,2018-01-01
"B","10",2018-07-01,75.37,67.89,70.94,2018-01-01
"C","10",2018-07-01,101.85,100.73,NA,2018-01-01
"D","10",2018-07-01,78.87,70.47,80.06,2018-01-01
"E","10",2018-07-01,117.84,115.91,118.07,2018-01-01
"F","10",2018-07-01,76.19,75.81,83.1,2018-01-01
"G","10",2018-07-01,155.71,155.46,157.96,2018-01-01
"H","10",2018-07-01,113.59,120.13,118.49,2018-01-01
"J","10",2018-07-01,120.5,118.36,113.83,2018-01-01
"A","11",2018-07-01,93.03,84.42,90.52,2018-01-01
"B","11",2018-07-01,57.71,49.36,60.48,2018-01-01
"C","11",2018-07-01,63.37,60.07,NA,2018-01-01
"D","11",2018-07-01,68.39,71.26,74.13,2018-01-01
"E","11",2018-07-01,123.72,128.05,117.12,2018-01-01
"F","11",2018-07-01,130.04,121.56,130.43,2018-01-01
"G","11",2018-07-01,101.74,104.64,104.98,2018-01-01
"H","11",2018-07-01,75.86,68.18,77.75,2018-01-01
"J","11",2018-07-01,120.24,114.19,127.41,2018-01-01
"A","12",2018-07-01,57.05,48.25,48.8,2018-01-01
"B","12",2018-07-01,83.46,88.47,84.79,2018-01-01
"C","12",2018-07-01,51.79,45.35,NA,2018-01-01
"D","12",2018-07-01,43.31,51,46.48,2018-01-01
"E","12",2018-07-01,64.97,64.74,63.84,2018-01-01
"F","12",2018-07-01,143.92,136.95,140,2018-01-01
"G","12",2018-07-01,102.45,102.67,95.04,2018-01-01
"H","12",2018-07-01,74.94,75.96,79.71,2018-01-01
"J","12",2018-07-01,129.2,124.5,124.88,2018-01-01
"A","13",2018-07-01,43.98,35.86,48.13,2018-01-01
"B","13",2018-07-01,56.46,62.21,57.64,2018-01-01
"C","13",2018-07-01,74.46,75.12,NA,2018-01-01
"D","13",2018-07-01,75.43,67.1,78.08,2018-01-01
"E","13",2018-07-01,145.63,144.78,146.65,2018-01-01
"F","13",2018-07-01,94.4,97.03,92.88,2018-01-01
"G","13",2018-07-01,81.47,89.57,80.01,2018-01-01
"H","13",2018-07-01,142.14,134.98,140.66,2018-01-01
"J","13",2018-07-01,71.98,71.58,67.68,2018-01-01
"A","24",2018-07-01,63.35,62.88,69.33,2018-01-01
"B","24",2018-07-01,71.32,66.15,71.17,2018-01-01
"C","24",2018-07-01,79.5,79.92,81.94,2018-01-01
"D","24",2018-07-01,70.39,73.95,75.22,2018-01-01
"E","24",2018-07-01,83.9,84.68,89.59,2018-01-01
"F","24",2018-07-01,75.73,66.91,76.36,2018-01-01
"G","24",2018-07-01,74.65,66.57,82.04,2018-01-01
"H","24",2018-07-01,123.19,130.14,120.86,2018-01-01
"J","24",2018-07-01,88.84,93.5,88.28,2018-01-01
"A","35",2018-07-01,48.9,50.98,42.63,2018-01-01
"B","35",2018-07-01,70.78,65.76,71.38,2018-01-01
"C","35",2018-07-01,59.85,54.03,61.8,2018-01-01
"D","35",2018-07-01,45.46,44.2,45.74,2018-01-01
"E","35",2018-07-01,84.39,90.35,79.92,2018-01-01
"F","35",2018-07-01,49.69,45.9,43.94,2018-01-01
"G","35",2018-07-01,59.56,65.03,64.9,2018-01-01
"H","35",2018-07-01,81.52,87.61,88.4,2018-01-01
"J","35",2018-07-01,124.16,129.18,127.29,2018-01-01
"A","46",2018-07-01,53.7,55.36,62.15,2018-01-01
"B","46",2018-07-01,65.7,67.54,68.09,2018-01-01
"C","46",2018-07-01,38.88,41.35,37.17,2018-01-01
"D","46",2018-07-01,59.64,58.83,60.77,2018-01-01
"E","46",2018-07-01,118.84,110.69,111.43,2018-01-01
"F","46",2018-07-01,110.41,116.78,114.67,2018-01-01
"G","46",2018-07-01,142.86,148.74,144.84,2018-01-01
"H","46",2018-07-01,69.84,78.34,64.77,2018-01-01
"J","46",2018-07-01,104.1,111.4,112.76,2018-01-01
"A","47",2018-07-01,46.89,43.02,40.31,2018-01-01
"B","47",2018-07-01,51.97,57.95,54.05,2018-01-01
"C","47",2018-07-01,82.96,85.67,90.93,2018-01-01
"D","47",2018-07-01,71.93,72.35,68.2,2018-01-01
"E","47",2018-07-01,75.19,69.28,73.67,2018-01-01
"F","47",2018-07-01,60,52.46,67.35,2018-01-01
"G","47",2018-07-01,40.11,34.08,42.78,2018-01-01
"H","47",2018-07-01,90.05,90.2,97.12,2018-01-01
"J","47",2018-07-01,128.09,124.3,131.88,2018-01-01
"A","48",2018-07-01,54.22,51.96,60.84,2018-01-01
"B","48",2018-07-01,79.54,72.44,72.8,2018-01-01
"C","48",2018-07-01,99.83,94.4,95.44,2018-01-01
"D","48",2018-07-01,43.51,40.97,51.07,2018-01-01
"E","48",2018-07-01,107.09,109.33,104.56,2018-01-01
"F","48",2018-07-01,76.54,81.5,69.16,2018-01-01
"G","48",2018-07-01,96.01,98.67,99.68,2018-01-01
"H","48",2018-07-01,97.12,96.08,93.37,2018-01-01
"J","48",2018-07-01,177.31,183.76,185.27,2018-01-01
"A","59",2018-07-01,43.13,45.09,37.02,2018-01-01
"B","59",2018-07-01,44.02,45.15,35.72,2018-01-01
"C","59",2018-07-01,68.21,61.93,69.86,2018-01-01
"D","59",2018-07-01,157.07,158.06,NA,2018-01-01
"E","59",2018-07-01,101.08,107.22,104.49,2018-01-01
"F","59",2018-07-01,58.7,59.87,NA,2018-01-01
"G","59",2018-07-01,69.5,66.87,72.36,2018-01-01
"H","59",2018-07-01,86.3,94.47,94.05,2018-01-01
"J","59",2018-07-01,90.48,87.36,96.9,2018-01-01
"A","10",2018-08-01,62.02,53.59,60.8,2018-01-01
"B","10",2018-08-01,66.12,72.39,57.41,2018-01-01
"C","10",2018-08-01,91.77,90.93,NA,2018-01-01
"D","10",2018-08-01,89.39,95.29,91.71,2018-01-01
"E","10",2018-08-01,104.8,97,112.35,2018-01-01
"F","10",2018-08-01,76.86,84.78,75.79,2018-01-01
"G","10",2018-08-01,167.54,166.86,166.68,2018-01-01
"H","10",2018-08-01,98.29,104.62,89.85,2018-01-01
"J","10",2018-08-01,120.17,125.69,118.92,2018-01-01
"A","11",2018-08-01,93.83,99.42,86.22,2018-01-01
"B","11",2018-08-01,64.19,59.54,69.1,2018-01-01
"C","11",2018-08-01,66.41,72.15,NA,2018-01-01
"D","11",2018-08-01,64.05,62.75,60.3,2018-01-01
"E","11",2018-08-01,121.72,116.74,121.75,2018-01-01
"F","11",2018-08-01,146.49,139.16,145.11,2018-01-01
"G","11",2018-08-01,104.96,112.6,97.13,2018-01-01
"H","11",2018-08-01,83.97,77.44,77.19,2018-01-01
"J","11",2018-08-01,102.57,110.92,94.67,2018-01-01
"A","12",2018-08-01,51.25,57.4,49.13,2018-01-01
"B","12",2018-08-01,93.51,85.82,91.11,2018-01-01
"C","12",2018-08-01,54.94,53.3,NA,2018-01-01
"D","12",2018-08-01,51.47,46.33,47.41,2018-01-01
"E","12",2018-08-01,60.79,64.08,63.2,2018-01-01
"F","12",2018-08-01,128.87,122.29,129.12,2018-01-01
"G","12",2018-08-01,87.99,85.95,95.65,2018-01-01
"H","12",2018-08-01,67.37,61.93,60.93,2018-01-01
"J","12",2018-08-01,145.88,147.06,141.14,2018-01-01
"A","13",2018-08-01,38.76,47.36,33.35,2018-01-01
"B","13",2018-08-01,61.97,63.29,58.64,2018-01-01
"C","13",2018-08-01,65.22,59.96,NA,2018-01-01
"D","13",2018-08-01,65.83,69.35,70.85,2018-01-01
"E","13",2018-08-01,143.3,151.19,135.67,2018-01-01
"F","13",2018-08-01,105.21,96.62,103.19,2018-01-01
"G","13",2018-08-01,74.18,80.17,67.08,2018-01-01
"H","13",2018-08-01,162.92,154.56,171.7,2018-01-01
"J","13",2018-08-01,67.13,75.15,65.71,2018-01-01
"A","24",2018-08-01,60.23,63.7,62.87,2018-01-01
"B","24",2018-08-01,62.68,60.06,56.2,2018-01-01
"C","24",2018-08-01,83.46,82.13,86,2018-01-01
"D","24",2018-08-01,68.6,73.55,61.61,2018-01-01
"E","24",2018-08-01,85.31,79.11,90.42,2018-01-01
"F","24",2018-08-01,77.06,82.62,70.57,2018-01-01
"G","24",2018-08-01,64.58,64.07,67.76,2018-01-01
"H","24",2018-08-01,119.03,114.05,121.49,2018-01-01
"J","24",2018-08-01,100.48,106.35,94.35,2018-01-01
"A","35",2018-08-01,45.04,51.28,49.54,2018-01-01
"B","35",2018-08-01,75.7,67.15,81.04,2018-01-01
"C","35",2018-08-01,70.93,71.4,70.77,2018-01-01
"D","35",2018-08-01,49.1,57.3,51.02,2018-01-01
"E","35",2018-08-01,87.24,86.64,79.68,2018-01-01
"F","35",2018-08-01,58.81,57.49,58.16,2018-01-01
"G","35",2018-08-01,58,62.3,52.22,2018-01-01
"H","35",2018-08-01,84.73,79.41,79.07,2018-01-01
"J","35",2018-08-01,124.96,133.49,116.87,2018-01-01
"A","46",2018-08-01,49.33,49.39,54.48,2018-01-01
"B","46",2018-08-01,60.92,60.12,64.71,2018-01-01
"C","46",2018-08-01,45.98,48.21,50.78,2018-01-01
"D","46",2018-08-01,59.81,65.51,61.09,2018-01-01
"E","46",2018-08-01,108.44,113.86,105.91,2018-01-01
"F","46",2018-08-01,115.97,113.87,117.13,2018-01-01
"G","46",2018-08-01,156.36,161.65,158.94,2018-01-01
"H","46",2018-08-01,59.44,51.32,62.09,2018-01-01
"J","46",2018-08-01,96.56,96.09,88.79,2018-01-01
"A","47",2018-08-01,52.86,49.83,54.15,2018-01-01
"B","47",2018-08-01,53.13,50.88,50.71,2018-01-01
"C","47",2018-08-01,99.25,98.46,102.52,2018-01-01
"D","47",2018-08-01,77.91,84.53,86.08,2018-01-01
"E","47",2018-08-01,87.83,93.66,80.42,2018-01-01
"F","47",2018-08-01,67.32,66.68,68.89,2018-01-01
"G","47",2018-08-01,38.56,33.07,36.76,2018-01-01
"H","47",2018-08-01,81.78,89.43,74.06,2018-01-01
"J","47",2018-08-01,143.4,139.77,146.26,2018-01-01
"A","48",2018-08-01,47.69,49.25,47.84,2018-01-01
"B","48",2018-08-01,81.43,73.21,86.06,2018-01-01
"C","48",2018-08-01,102.5,94.91,108.59,2018-01-01
"D","48",2018-08-01,37,31.51,29.22,2018-01-01
"E","48",2018-08-01,102.24,107.47,111.01,2018-01-01
"F","48",2018-08-01,72.7,76.03,64.27,2018-01-01
"G","48",2018-08-01,86.51,89,82.49,2018-01-01
"H","48",2018-08-01,96.94,91.92,105.61,2018-01-01
"J","48",2018-08-01,191.73,187.54,193.27,2018-01-01
"A","59",2018-08-01,50.78,55.74,59.16,2018-01-01
"B","59",2018-08-01,39,35.62,33.55,2018-01-01
"C","59",2018-08-01,59.03,53.93,67.22,2018-01-01
"D","59",2018-08-01,164.54,170.34,NA,2018-01-01
"E","59",2018-08-01,114.12,120.09,116.23,2018-01-01
"F","59",2018-08-01,67.91,62.97,NA,2018-01-01
"G","59",2018-08-01,64.63,71.85,71.55,2018-01-01
"H","59",2018-08-01,80.47,85.99,80.94,2018-01-01
"J","59",2018-08-01,105.68,98.53,100.63,2018-01-01
"A","10",2018-09-01,58.76,51.1,50.88,2018-01-01
"B","10",2018-09-01,69.04,70.98,71.3,2018-01-01
"C","10",2018-09-01,80.73,72.27,NA,2018-01-01
"D","10",2018-09-01,84.06,76.57,80.54,2018-01-01
"E","10",2018-09-01,89.59,85.16,84.32,2018-01-01
"F","10",2018-09-01,73.42,75.69,66.45,2018-01-01
"G","10",2018-09-01,196.79,203.45,196.31,2018-01-01
"H","10",2018-09-01,94.5,101.13,101.38,2018-01-01
"J","10",2018-09-01,103.29,111.01,95.89,2018-01-01
"A","11",2018-09-01,97.68,106.4,103.42,2018-01-01
"B","11",2018-09-01,69.33,63.38,70.48,2018-01-01
"C","11",2018-09-01,61.12,64.44,NA,2018-01-01
"D","11",2018-09-01,70.75,66.98,73.5,2018-01-01
"E","11",2018-09-01,122.74,127.41,126.9,2018-01-01
"F","11",2018-09-01,124.82,121.56,118.74,2018-01-01
"G","11",2018-09-01,94.02,97.14,96.62,2018-01-01
"H","11",2018-09-01,78.24,71.37,76.86,2018-01-01
"J","11",2018-09-01,109.38,110.05,112.06,2018-01-01
"A","12",2018-09-01,50.53,45.37,56.49,2018-01-01
"B","12",2018-09-01,106.55,111.17,114.08,2018-01-01
"C","12",2018-09-01,54.68,57.79,NA,2018-01-01
"D","12",2018-09-01,50.33,48.43,50.58,2018-01-01
"E","12",2018-09-01,66.34,67.23,70.91,2018-01-01
"F","12",2018-09-01,119.8,113.09,119.56,2018-01-01
"G","12",2018-09-01,83.76,78.86,91.18,2018-01-01
"H","12",2018-09-01,64.45,60.09,69.28,2018-01-01
"J","12",2018-09-01,160.18,153.16,156.48,2018-01-01
"A","13",2018-09-01,40.3,35.43,31.66,2018-01-01
"B","13",2018-09-01,58,49.61,54.51,2018-01-01
"C","13",2018-09-01,74.61,70.66,NA,2018-01-01
"D","13",2018-09-01,67.61,60.88,62.51,2018-01-01
"E","13",2018-09-01,134.2,134.11,139.27,2018-01-01
"F","13",2018-09-01,109.37,107.01,111.38,2018-01-01
"G","13",2018-09-01,87.92,91.3,84.49,2018-01-01
"H","13",2018-09-01,191.74,192.69,188.12,2018-01-01
"J","13",2018-09-01,66.57,64.81,67.1,2018-01-01
"A","24",2018-09-01,64.05,60.68,66.14,2018-01-01
"B","24",2018-09-01,61.86,70.63,57.23,2018-01-01
"C","24",2018-09-01,74.74,69.75,70.38,2018-01-01
"D","24",2018-09-01,58.41,55.88,63.23,2018-01-01
"E","24",2018-09-01,95.71,95.52,101.96,2018-01-01
"F","24",2018-09-01,70.93,71.32,62.24,2018-01-01
"G","24",2018-09-01,65.17,66.35,73.15,2018-01-01
"H","24",2018-09-01,141.94,149.45,139.49,2018-01-01
"J","24",2018-09-01,119.43,119.95,122.42,2018-01-01
"A","35",2018-09-01,41.68,42.39,46.38,2018-01-01
"B","35",2018-09-01,83.9,85.88,79.8,2018-01-01
"C","35",2018-09-01,81.92,84.94,85.73,2018-01-01
"D","35",2018-09-01,51.71,48.95,56.54,2018-01-01
"E","35",2018-09-01,76.31,74.11,80.15,2018-01-01
"F","35",2018-09-01,59.07,63.22,53.22,2018-01-01
"G","35",2018-09-01,66.02,74.8,71.64,2018-01-01
"H","35",2018-09-01,98.78,104.25,107.25,2018-01-01
"J","35",2018-09-01,144.72,139.05,138.98,2018-01-01
"A","46",2018-09-01,42.75,35.35,47.77,2018-01-01
"B","46",2018-09-01,68.95,75.02,66.36,2018-01-01
"C","46",2018-09-01,41.09,43.59,35.48,2018-01-01
"D","46",2018-09-01,53.66,54.65,60.89,2018-01-01
"E","46",2018-09-01,100.87,97.42,105.32,2018-01-01
"F","46",2018-09-01,117.57,121.68,113.84,2018-01-01
"G","46",2018-09-01,162.86,159.5,162.49,2018-01-01
"H","46",2018-09-01,70.52,73.53,63.59,2018-01-01
"J","46",2018-09-01,110.51,116.31,107.86,2018-01-01
"A","47",2018-09-01,47.45,51.99,54.42,2018-01-01
"B","47",2018-09-01,56.88,53.12,52.71,2018-01-01
"C","47",2018-09-01,107.71,103.44,100.49,2018-01-01
"D","47",2018-09-01,89.5,92.28,86.8,2018-01-01
"E","47",2018-09-01,84.19,79.38,90.57,2018-01-01
"F","47",2018-09-01,79.48,86.83,78.51,2018-01-01
"G","47",2018-09-01,36.49,42.46,34.24,2018-01-01
"H","47",2018-09-01,83.2,87.11,75.87,2018-01-01
"J","47",2018-09-01,146.18,151.98,152.6,2018-01-01
"A","48",2018-09-01,41.43,38.83,49.44,2018-01-01
"B","48",2018-09-01,78.48,78.53,86.45,2018-01-01
"C","48",2018-09-01,111.49,117.89,106.65,2018-01-01
"D","48",2018-09-01,41.29,40.93,43,2018-01-01
"E","48",2018-09-01,90.64,93.73,96.17,2018-01-01
"F","48",2018-09-01,62.66,62.45,64.25,2018-01-01
"G","48",2018-09-01,76.27,75.73,77.52,2018-01-01
"H","48",2018-09-01,109.12,115.46,108.3,2018-01-01
"J","48",2018-09-01,181.74,181.69,181.71,2018-01-01
"A","59",2018-09-01,52.77,59.22,50.38,2018-01-01
"B","59",2018-09-01,34.44,36.63,25.88,2018-01-01
"C","59",2018-09-01,64.55,64.61,58.03,2018-01-01
"D","59",2018-09-01,140.89,136.36,NA,2018-01-01
"E","59",2018-09-01,125.03,119.82,126.52,2018-01-01
"F","59",2018-09-01,65.31,69.58,NA,2018-01-01
"G","59",2018-09-01,55.58,56.21,52.61,2018-01-01
"H","59",2018-09-01,71.52,67.22,70.01,2018-01-01
"J","59",2018-09-01,111.84,104.88,118.46,2018-01-01
"A","10",2018-10-01,58.85,56.86,62.06,2018-01-01
"B","10",2018-10-01,78.29,74.61,81.37,2018-01-01
"C","10",2018-10-01,86.15,79.26,NA,2018-01-01
"D","10",2018-10-01,93.45,90.63,98.14,2018-01-01
"E","10",2018-10-01,94.17,93.87,99.04,2018-01-01
"F","10",2018-10-01,71.08,69.17,69.76,2018-01-01
"G","10",2018-10-01,224.64,223.33,227.8,2018-01-01
"H","10",2018-10-01,100.54,95.64,96.72,2018-01-01
"J","10",2018-10-01,116.41,123.69,115.56,2018-01-01
"A","11",2018-10-01,86.96,91.64,84.51,2018-01-01
"B","11",2018-10-01,69.87,65.8,74.53,2018-01-01
"C","11",2018-10-01,68.16,61.55,NA,2018-01-01
"D","11",2018-10-01,62.21,69.79,56.18,2018-01-01
"E","11",2018-10-01,122.08,130.58,123.85,2018-01-01
"F","11",2018-10-01,116.81,115.4,119.09,2018-01-01
"G","11",2018-10-01,91.84,97.58,90.61,2018-01-01
"H","11",2018-10-01,82.77,88.68,83.56,2018-01-01
"J","11",2018-10-01,119.19,110.62,116.91,2018-01-01
"A","12",2018-10-01,54.06,51.63,51.27,2018-01-01
"B","12",2018-10-01,126.83,126.63,127.69,2018-01-01
"C","12",2018-10-01,58.03,50.02,NA,2018-01-01
"D","12",2018-10-01,59.68,57.44,58.08,2018-01-01
"E","12",2018-10-01,73.52,67.93,73.12,2018-01-01
"F","12",2018-10-01,128.32,124.1,122.92,2018-01-01
"G","12",2018-10-01,96.76,102.51,98.57,2018-01-01
"H","12",2018-10-01,72.74,80.94,72.93,2018-01-01
"J","12",2018-10-01,153.63,149.93,156.57,2018-01-01
"A","13",2018-10-01,34.48,32.6,26.35,2018-01-01
"B","13",2018-10-01,62.24,66.72,61.56,2018-01-01
"C","13",2018-10-01,73.45,68.61,NA,2018-01-01
"D","13",2018-10-01,61.92,55.45,53.85,2018-01-01
"E","13",2018-10-01,141.25,149.44,140.68,2018-01-01
"F","13",2018-10-01,127.14,127.96,122.32,2018-01-01
"G","13",2018-10-01,85.7,81.33,87.79,2018-01-01
"H","13",2018-10-01,166.53,158.48,174.73,2018-01-01
"J","13",2018-10-01,71.21,66.34,72.7,2018-01-01
"A","24",2018-10-01,76.61,68.56,82.9,2018-01-01
"B","24",2018-10-01,69.24,66.96,60.37,2018-01-01
"C","24",2018-10-01,71.56,67.53,76.29,2018-01-01
"D","24",2018-10-01,56.72,51.19,49.31,2018-01-01
"E","24",2018-10-01,92.94,98.37,84.56,2018-01-01
"F","24",2018-10-01,62.47,70.86,65.19,2018-01-01
"G","24",2018-10-01,77.76,74.27,76.21,2018-01-01
"H","24",2018-10-01,145.94,151.63,137.99,2018-01-01
"J","24",2018-10-01,131.86,132.92,123.61,2018-01-01
"A","35",2018-10-01,50,45.62,55.58,2018-01-01
"B","35",2018-10-01,99.31,93.11,98.94,2018-01-01
"C","35",2018-10-01,81.22,82.96,74.67,2018-01-01
"D","35",2018-10-01,45.7,38.49,44.35,2018-01-01
"E","35",2018-10-01,84.8,83.86,89.44,2018-01-01
"F","35",2018-10-01,51.5,58.92,42.69,2018-01-01
"G","35",2018-10-01,68.88,67.24,60.56,2018-01-01
"H","35",2018-10-01,117.64,120.54,110.96,2018-01-01
"J","35",2018-10-01,124.84,129.39,116.16,2018-01-01
"A","46",2018-10-01,43.49,44.1,35.31,2018-01-01
"B","46",2018-10-01,81.39,82.67,80.14,2018-01-01
"C","46",2018-10-01,44.13,47.63,47.17,2018-01-01
"D","46",2018-10-01,57.76,49.49,60.73,2018-01-01
"E","46",2018-10-01,119.72,113.21,114.61,2018-01-01
"F","46",2018-10-01,107.8,104.66,105.58,2018-01-01
"G","46",2018-10-01,147.23,141.86,139.12,2018-01-01
"H","46",2018-10-01,72.24,66.51,68.12,2018-01-01
"J","46",2018-10-01,127.39,133.99,128.88,2018-01-01
"A","47",2018-10-01,41.22,34.35,40.46,2018-01-01
"B","47",2018-10-01,63.18,56.32,60.39,2018-01-01
"C","47",2018-10-01,93.73,97.28,97.44,2018-01-01
"D","47",2018-10-01,85.81,94.01,83.43,2018-01-01
"E","47",2018-10-01,76.89,78.31,72.49,2018-01-01
"F","47",2018-10-01,89.65,85.68,96.76,2018-01-01
"G","47",2018-10-01,33.14,29.08,34.59,2018-01-01
"H","47",2018-10-01,93.57,87.67,86.62,2018-01-01
"J","47",2018-10-01,126.21,132.11,124.08,2018-01-01
"A","48",2018-10-01,49.59,41.99,44.73,2018-01-01
"B","48",2018-10-01,91.14,87.28,93.23,2018-01-01
"C","48",2018-10-01,96.75,94.31,100.08,2018-01-01
"D","48",2018-10-01,48.64,52.54,47.17,2018-01-01
"E","48",2018-10-01,104.17,103.07,104.44,2018-01-01
"F","48",2018-10-01,60.32,59.71,68.21,2018-01-01
"G","48",2018-10-01,81.74,89.05,80.94,2018-01-01
"H","48",2018-10-01,102.5,106.16,100.82,2018-01-01
"J","48",2018-10-01,212.67,221.46,220.68,2018-01-01
"A","59",2018-10-01,48.43,50.23,41.49,2018-01-01
"B","59",2018-10-01,36.19,38.4,39.89,2018-01-01
"C","59",2018-10-01,76.17,68.67,74.71,2018-01-01
"D","59",2018-10-01,163.71,157.07,NA,2018-01-01
"E","59",2018-10-01,142.06,147.55,140.41,2018-01-01
"F","59",2018-10-01,75.43,81.42,NA,2018-01-01
"G","59",2018-10-01,51.92,49.59,48.4,2018-01-01
"H","59",2018-10-01,72.58,66.79,74.94,2018-01-01
"J","59",2018-10-01,95.28,102.18,98.42,2018-01-01
"A","10",2018-11-01,50.4,49.36,58.17,2018-01-01
"B","10",2018-11-01,90.48,87.74,92.08,2018-01-01
"C","10",2018-11-01,102.99,104.12,NA,2018-01-01
"D","10",2018-11-01,93.86,100.27,95.91,2018-01-01
"E","10",2018-11-01,92.06,84.99,90.1,2018-01-01
