"","ea","period","price1","price2","price3","basket"
"539","59H","201806",84.04,98.76,94.25,"2018"
"540","59J","201806",97.03,96.45,100.28,"2018"
"541","10A","201807",59.01,59.89,59.69,"2018"
"542","10B","201807",73.29,77.34,72.96,"2018"
"543","10C","201807",95.13,92.25,90.12,"2018"
"544","10D","201807",80.42,78.43,76.92,"2018"
"545","10E","201807",89.63,86.9,87,"2018"
"546","10F","201807",83.83,85.03,84.78,"2018"
"547","10G","201807",138.97,140.83,132.69,"2018"
"548","10H","201807",101.65,97.84,107.65,"2018"
"549","10J","201807",108.62,104.5,110.04,"2018"
"550","11A","201807",64.11,62.21,59.71,"2018"
"551","11B","201807",64.79,58.56,62.18,"2018"
"552","11C","201807",78.97,72.11,74.75,"2018"
"553","11D","201807",62.74,63.08,66.68,"2018"
"554","11E","201807",104.36,107.24,115.9,"2018"
"555","11F","201807",94.16,100.01,94.72,"2018"
"556","11G","201807",93.41,92.71,97.88,"2018"
"557","11H","201807",80.37,76.34,79.44,"2018"
"558","11J","201807",123.67,120.67,119.44,"2018"
"559","12A","201807",47.23,47.39,47.71,"2018"
"560","12B","201807",93.12,95.49,96.31,"2018"
"561","12C","201807",49.48,51.71,51.48,"2018"
"562","12D","201807",54.72,52.7,50.58,"2018"
"563","12E","201807",75.86,71.36,70.01,"2018"
"564","12F","201807",117.8,120.45,125.77,"2018"
"565","12G","201807",96.43,98.08,89.49,"2018"
"566","12H","201807",75.62,76.45,74.95,"2018"
"567","12J","201807",146.2,139.29,140.25,"2018"
"568","13A","201807",36.2,35.41,34.96,"2018"
"569","13B","201807",52.45,55.36,54.76,"2018"
"570","13C","201807",67.75,67.48,68.11,"2018"
"571","13D","201807",57.96,59.03,57.45,"2018"
"572","13E","201807",112.46,114.79,109.4,"2018"
"573","13F","201807",88.12,85.43,91.42,"2018"
"574","13G","201807",74.76,75.54,77.7,"2018"
"575","13H","201807",117.55,125.44,117.55,"2018"
"576","13J","201807",69.09,70.4,70.12,"2018"
"577","24A","201807",44.92,47.31,50.94,"2018"
"578","24B","201807",53.64,50.88,50.87,"2018"
"579","24C","201807",47.5,54.11,46.95,"2018"
"580","24D","201807",57.44,53.04,53.17,"2018"
"581","24E","201807",78.35,76.35,73.06,"2018"
"582","24F","201807",49.28,51.24,50.3,"2018"
"583","24G","201807",59.25,59.43,62.23,"2018"
"584","24H","201807",84.84,83.13,84.98,"2018"
"585","24J","201807",86.49,83.08,85.29,"2018"
"586","35A","201807",54.63,57.78,58.48,"2018"
"587","35B","201807",94.06,103.83,87.58,"2018"
"588","35C","201807",80.98,76.32,76.73,"2018"
"589","35D","201807",58.79,55.9,52.57,"2018"
"590","35E","201807",87.42,90.71,100.27,"2018"
"591","35F","201807",62.89,71.06,66.69,"2018"
"592","35G","201807",80,90.08,83.31,"2018"
"593","35H","201807",123.53,120.9,124.77,"2018"
"594","35J","201807",145.19,139.3,142.13,"2018"
"595","46A","201807",53.93,44.81,54.08,"2018"
"596","46B","201807",82.04,88.96,91.69,"2018"
"597","46C","201807",56.11,49.2,55.39,"2018"
"598","46D","201807",63.2,59.69,63.86,"2018"
"599","46E","201807",104.75,113.92,103.86,"2018"
"600","46F","201807",100.84,101.17,106.05,"2018"
"601","46G","201807",143.1,144.46,148.22,"2018"
"602","46H","201807",72.25,70.99,78.97,"2018"
"603","46J","201807",106.66,127.28,122.09,"2018"
"604","47A","201807",43.18,46.93,42.48,"2018"
"605","47B","201807",48.8,50.22,50.67,"2018"
"606","47C","201807",86.2,77.43,96.74,"2018"
"607","47D","201807",74.48,91.61,79.05,"2018"
"608","47E","201807",86.39,88.55,78.61,"2018"
"609","47F","201807",63.05,64.08,72.73,"2018"
"610","47G","201807",47.12,44.84,40.91,"2018"
"611","47H","201807",78.33,83.52,82.37,"2018"
"612","47J","201807",127.28,134.47,131.71,"2018"
"613","48A","201807",40.41,45.43,45.68,"2018"
"614","48B","201807",93.33,82.24,87.22,"2018"
"615","48C","201807",90.95,103.78,91.56,"2018"
"616","48D","201807",44.57,52.83,53.61,"2018"
"617","48E","201807",104.89,96.17,95.47,"2018"
"618","48F","201807",80.03,78.1,80.36,"2018"
"619","48G","201807",104.71,88.31,94.96,"2018"
"620","48H","201807",94.24,100.9,106.8,"2018"
"621","48J","201807",171.66,193.64,176.03,"2018"
"622","59A","201807",60.59,58.06,56.73,"2018"
"623","59B","201807",48.21,49.26,NA,"2018"
"624","59C","201807",79.61,76.03,77.6,"2018"
"625","59D","201807",162.75,150.86,154.51,"2018"
"626","59E","201807",122.55,121.86,123.71,"2018"
"627","59F","201807",71.34,80.14,76.26,"2018"
"628","59G","201807",84.22,78.38,76.87,"2018"
"629","59H","201807",96.41,95.8,95.46,"2018"
"630","59J","201807",110.51,103.66,101.68,"2018"
"631","10A","201808",77.45,78.36,76.62,"2018"
"632","10B","201808",99.01,96.94,97.29,"2018"
"633","10C","201808",107.8,108.94,105.26,"2018"
"634","10D","201808",100.17,101.03,102.29,"2018"
"635","10E","201808",105.98,110.03,105.02,"2018"
"636","10F","201808",95.56,93.69,96.87,"2018"
"637","10G","201808",169.14,175.75,170.62,"2018"
"638","10H","201808",111.22,114.61,114.16,"2018"
"639","10J","201808",117.82,121.82,116.57,"2018"
"640","11A","201808",89.17,80.9,89.2,"2018"
"641","11B","201808",83.74,82.79,81.94,"2018"
"642","11C","201808",92.26,87.01,88.07,"2018"
"643","11D","201808",78.24,79.19,82.5,"2018"
"644","11E","201808",144.19,141.21,131.21,"2018"
"645","11F","201808",127.08,124.72,133.95,"2018"
"646","11G","201808",125.25,125.23,128.24,"2018"
"647","11H","201808",104.69,101.93,99.81,"2018"
"648","11J","201808",141.6,139.95,130.29,"2018"
"649","12A","201808",58.84,59.16,58.18,"2018"
"650","12B","201808",109.06,112.54,122.58,"2018"
"651","12C","201808",71.08,67.27,66.78,"2018"
"652","12D","201808",72.55,72.25,68.67,"2018"
"653","12E","201808",90.87,88.06,89.71,"2018"
"654","12F","201808",177.17,174.38,171.74,"2018"
"655","12G","201808",114.45,112.78,106.9,"2018"
"656","12H","201808",88.93,89.47,89.77,"2018"
"657","12J","201808",169.5,172.85,180.36,"2018"
"658","13A","201808",46.84,49.58,47.73,"2018"
"659","13B","201808",69.64,68.56,68.18,"2018"
"660","13C","201808",81.18,82.73,84.56,"2018"
"661","13D","201808",68.92,73.59,72.76,"2018"
"662","13E","201808",137.4,132.93,145.47,"2018"
"663","13F","201808",97.85,99.19,100.92,"2018"
"664","13G","201808",91.86,86.93,94.38,"2018"
"665","13H","201808",140.14,144.84,141.49,"2018"
"666","13J","201808",84.57,79.42,85.69,"2018"
"667","24A","201808",68.2,75.79,72.36,"2018"
"668","24B","201808",69.16,77.29,73.54,"2018"
"669","24C","201808",80.83,68.24,71.22,"2018"
"670","24D","201808",88.17,90.73,88.23,"2018"
"671","24E","201808",111.19,105.33,111.45,"2018"
"672","24F","201808",76.2,79.67,83.89,"2018"
"673","24G","201808",86.95,90.65,92.92,"2018"
"674","24H","201808",126.16,121.55,138.91,"2018"
"675","24J","201808",119.68,118.07,119.32,"2018"
"676","35A","201808",47.76,46.19,46.61,"2018"
"677","35B","201808",85.46,87.09,95.96,"2018"
"678","35C","201808",73.94,70.35,69.2,"2018"
"679","35D","201808",60.14,59.79,61.68,"2018"
"680","35E","201808",86.73,83.34,75.4,"2018"
"681","35F","201808",67.41,70.94,67.51,"2018"
"682","35G","201808",89.21,80.81,84.28,"2018"
"683","35H","201808",123.39,111.58,115.8,"2018"
"684","35J","201808",130.73,122.12,132.58,"2018"
"685","46A","201808",58.96,62.23,59.89,"2018"
"686","46B","201808",74.94,68.91,71.62,"2018"
"687","46C","201808",54.72,56.2,60.1,"2018"
"688","46D","201808",63.4,70.77,60.33,"2018"
"689","46E","201808",108.49,118.3,95.42,"2018"
"690","46F","201808",106.04,117.83,103.3,"2018"
"691","46G","201808",148.36,162.61,168.13,"2018"
"692","46H","201808",91.56,71.5,77.13,"2018"
"693","46J","201808",129.53,130.15,130.28,"2018"
"694","47A","201808",43.61,44.85,34.65,"2018"
"695","47B","201808",49.18,54.09,45.65,"2018"
"696","47C","201808",86.62,88.24,86.42,"2018"
"697","47D","201808",83.53,77.41,83,"2018"
"698","47E","201808",69.35,76.13,80.12,"2018"
"699","47F","201808",60.9,67.55,61.59,"2018"
"700","47G","201808",35.9,36.18,42.54,"2018"
"701","47H","201808",77.26,75.28,83.16,"2018"
"702","47J","201808",139.53,128.75,124.37,"2018"
"703","48A","201808",49.91,44.07,43.11,"2018"
"704","48B","201808",82.77,77.12,100.6,"2018"
"705","48C","201808",89.28,91.36,89.62,"2018"
"706","48D","201808",49.7,52.35,46.44,"2018"
"707","48E","201808",100.21,97.43,98.38,"2018"
"708","48F","201808",77.8,83.01,87.54,"2018"
"709","48G","201808",104.78,109,119.24,"2018"
"710","48H","201808",98.66,97.97,101.54,"2018"
"711","48J","201808",210.66,205.5,205.79,"2018"
"712","59A","201808",45.88,47.79,46.36,"2018"
"713","59B","201808",41.23,38.91,NA,"2018"
"714","59C","201808",72.09,71.17,71.39,"2018"
"715","59D","201808",135.56,148.49,133.06,"2018"
"716","59E","201808",103.5,99.51,98.99,"2018"
"717","59F","201808",58.34,68.78,57.96,"2018"
"718","59G","201808",59.23,60.58,61.16,"2018"
"719","59H","201808",76.84,77.08,81.92,"2018"
"720","59J","201808",94.04,87.93,97.37,"2018"
"721","10A","201809",56.35,55.62,61.42,"2018"
"722","10B","201809",85.54,84,78.79,"2018"
"723","10C","201809",95.89,98.43,99.56,"2018"
"724","10D","201809",88.32,89.41,85.57,"2018"
"725","10E","201809",89.34,87.21,92.47,"2018"
"726","10F","201809",92.36,88.86,84.1,"2018"
"727","10G","201809",151.58,135.68,144.73,"2018"
"728","10H","201809",92.3,96.38,95.69,"2018"
"729","10J","201809",104.42,105.47,101.06,"2018"
"730","11A","201809",64.29,68.38,63.63,"2018"
"731","11B","201809",57.15,58.86,57.85,"2018"
"732","11C","201809",71.72,68.99,75.47,"2018"
"733","11D","201809",73.8,69.28,70.33,"2018"
"734","11E","201809",103.22,105.18,95.97,"2018"
"735","11F","201809",86.11,88.62,89.09,"2018"
"736","11G","201809",93.6,94.28,95.2,"2018"
"737","11H","201809",84.12,83.53,84.82,"2018"
"738","11J","201809",118.74,115.59,116.73,"2018"
"739","12A","201809",45.77,47.12,45.56,"2018"
"740","12B","201809",108.92,98.72,104.91,"2018"
"741","12C","201809",54.7,52.56,55.52,"2018"
"742","12D","201809",48.99,50.73,47.96,"2018"
"743","12E","201809",71.24,65.69,69.9,"2018"
"744","12F","201809",131.45,126.32,138.27,"2018"
"745","12G","201809",87.11,92.81,88.83,"2018"
"746","12H","201809",68.82,74.98,74.95,"2018"
"747","12J","201809",146.69,143.5,144.73,"2018"
"748","13A","201809",36.8,36,34.9,"2018"
"749","13B","201809",50.7,55.74,50.74,"2018"
"750","13C","201809",67.59,66.6,67.76,"2018"
"751","13D","201809",66.16,64.15,64.94,"2018"
"752","13E","201809",111.02,107.48,104.68,"2018"
"753","13F","201809",88.44,82.51,86.18,"2018"
"754","13G","201809",79.4,79.9,77.9,"2018"
"755","13H","201809",109.29,108.1,108.41,"2018"
"756","13J","201809",60.18,63.7,63.04,"2018"
"757","24A","201809",50.68,50.13,46,"2018"
"758","24B","201809",56.38,53.25,59.86,"2018"
"759","24C","201809",55.97,51.57,53.63,"2018"
"760","24D","201809",58.73,57.31,61.43,"2018"
"761","24E","201809",80.56,78.26,78.85,"2018"
"762","24F","201809",52.14,57.91,51.9,"2018"
"763","24G","201809",64.14,69.3,64.27,"2018"
"764","24H","201809",102.56,99.12,98.52,"2018"
"765","24J","201809",101.08,98.97,99.64,"2018"
"766","35A","201809",49.32,52.23,49.46,"2018"
"767","35B","201809",91.81,79.99,76.69,"2018"
"768","35C","201809",64.45,76.12,76.12,"2018"
"769","35D","201809",49.43,53.04,57.52,"2018"
"770","35E","201809",87.78,86.38,84.25,"2018"
"771","35F","201809",62.35,65.69,55.92,"2018"
"772","35G","201809",81.93,79.66,81.11,"2018"
"773","35H","201809",119.42,107.33,103.07,"2018"
"774","35J","201809",124.1,117.91,127.23,"2018"
"775","46A","201809",44.91,50.83,47.93,"2018"
"776","46B","201809",71.02,60.5,67.19,"2018"
"777","46C","201809",52.34,53.5,42.81,"2018"
"778","46D","201809",51.47,58.1,55.74,"2018"
"779","46E","201809",93.37,86.32,101.28,"2018"
"780","46F","201809",101.5,97.54,104.84,"2018"
"781","46G","201809",136.46,139.38,132.69,"2018"
"782","46H","201809",70.74,78.37,75.89,"2018"
"783","46J","201809",117.57,122.64,112.26,"2018"
"784","47A","201809",45.81,46.78,47.83,"2018"
"785","47B","201809",50.68,58.6,63.57,"2018"
"786","47C","201809",98.73,96.52,99.76,"2018"
"787","47D","201809",100.6,92.6,95.65,"2018"
"788","47E","201809",84.1,86.33,79.57,"2018"
"789","47F","201809",72.99,75.36,73.8,"2018"
"790","47G","201809",41.1,39.77,39.81,"2018"
"791","47H","201809",88.97,84.42,82.98,"2018"
"792","47J","201809",137.67,144.71,146.81,"2018"
"793","48A","201809",43.39,45.67,45.1,"2018"
"794","48B","201809",73,83.48,69.08,"2018"
"795","48C","201809",93.19,81.56,83.92,"2018"
"796","48D","201809",53.05,50.09,47.36,"2018"
"797","48E","201809",89.58,106.14,90.37,"2018"
"798","48F","201809",93.46,91.84,83.76,"2018"
"799","48G","201809",126.32,105.04,116.49,"2018"
"800","48H","201809",92.95,96.79,89.61,"2018"
"801","48J","201809",226.99,235.11,210.84,"2018"
"802","59A","201809",50.7,51.13,47.69,"2018"
"803","59B","201809",38.55,38.86,NA,"2018"
"804","59C","201809",68.5,74.97,65.57,"2018"
"805","59D","201809",183.45,160.74,142.85,"2018"
"806","59E","201809",102.75,94.33,110.31,"2018"
"807","59F","201809",62.23,66.69,68.81,"2018"
"808","59G","201809",61.26,54.49,57.51,"2018"
"809","59H","201809",81.58,75.6,78.88,"2018"
"810","59J","201809",96.74,90.1,98.58,"2018"
"811","10A","201810",68.46,67.53,65.82,"2018"
"812","10B","201810",93.7,96.49,95.61,"2018"
"813","10C","201810",119.01,115.53,115.24,"2018"
"814","10D","201810",90.19,91.45,92.68,"2018"
"815","10E","201810",98.37,99.33,108.86,"2018"
"816","10F","201810",105.16,103.93,103.11,"2018"
"817","10G","201810",161.68,154.73,156.07,"2018"
"818","10H","201810",111.79,109.45,103.6,"2018"
"819","10J","201810",133.68,127.59,128.09,"2018"
"820","11A","201810",77.92,80.92,82.97,"2018"
"821","11B","201810",80.58,82.27,87.97,"2018"
"822","11C","201810",94.73,86.08,88.38,"2018"
"823","11D","201810",82.83,82.67,83.62,"2018"
"824","11E","201810",141.11,144.01,138.64,"2018"
"825","11F","201810",119.07,109.76,114.28,"2018"
"826","11G","201810",126.56,121.63,120.07,"2018"
"827","11H","201810",97.54,104.68,91.62,"2018"
"828","11J","201810",150.69,159.95,149.91,"2018"
"829","12A","201810",48.88,50.96,53.11,"2018"
"830","12B","201810",126.67,124.82,126.55,"2018"
"831","12C","201810",63.44,64.61,64.72,"2018"
"832","12D","201810",61.71,58.1,57.13,"2018"
"833","12E","201810",87.07,86.44,88.18,"2018"
"834","12F","201810",132.57,136.7,142.14,"2018"
"835","12G","201810",108.07,100.15,108.12,"2018"
"836","12H","201810",83.91,82.05,83.79,"2018"
"837","12J","201810",179.45,176.28,171.14,"2018"
"838","13A","201810",43.51,42.97,44.17,"2018"
"839","13B","201810",66.69,67.45,66.72,"2018"
"840","13C","201810",85.99,84.07,86.38,"2018"
"841","13D","201810",77.29,72.22,71.36,"2018"
"842","13E","201810",145.69,155.45,153.15,"2018"
"843","13F","201810",108.32,107.55,106.31,"2018"
"844","13G","201810",103.83,102.47,105.95,"2018"
"845","13H","201810",142.19,147.89,147.74,"2018"
"846","13J","201810",71.04,72.04,75.48,"2018"
"847","24A","201810",60.93,58.91,57.97,"2018"
"848","24B","201810",64.84,60.8,66.13,"2018"
"849","24C","201810",61.93,67.9,61.56,"2018"
"850","24D","201810",72.33,75.59,71.02,"2018"
"851","24E","201810",105.85,92.88,94.96,"2018"
"852","24F","201810",56.46,62.4,60.31,"2018"
"853","24G","201810",82.57,78.97,83.6,"2018"
"854","24H","201810",102.61,120.47,94.61,"2018"
"855","24J","201810",104.85,116.13,112.99,"2018"
"856","35A","201810",55.46,47.54,52.93,"2018"
"857","35B","201810",86.95,86.71,82.58,"2018"
"858","35C","201810",77.76,71.63,72.31,"2018"
"859","35D","201810",52.93,52.38,46.26,"2018"
"860","35E","201810",87.84,90.1,79.44,"2018"
"861","35F","201810",65.37,59.25,59.65,"2018"
"862","35G","201810",82.22,91.66,76.11,"2018"
"863","35H","201810",128.89,120.55,131.34,"2018"
"864","35J","201810",112.17,115.51,115.43,"2018"
"865","46A","201810",63.03,62.61,58.44,"2018"
"866","46B","201810",74.62,79.86,82.3,"2018"
"867","46C","201810",70.33,61.46,64.86,"2018"
"868","46D","201810",75.34,68.44,71.69,"2018"
"869","46E","201810",123.49,102.46,116.64,"2018"
"870","46F","201810",109.28,109.61,126.56,"2018"
"871","46G","201810",186.53,184.53,189.65,"2018"
"872","46H","201810",83.47,92.21,89.49,"2018"
"873","46J","201810",135.03,125.18,131.81,"2018"
"874","47A","201810",55.04,61.49,49.8,"2018"
"875","47B","201810",74.69,70.79,68.78,"2018"
"876","47C","201810",122.66,122.23,137.91,"2018"
"877","47D","201810",105.95,131.94,110.45,"2018"
"878","47E","201810",101.87,121.01,110.35,"2018"
"879","47F","201810",88.47,90.27,90.99,"2018"
"880","47G","201810",52.99,56.25,46.91,"2018"
"881","47H","201810",97.17,108.86,116.53,"2018"
"882","47J","201810",174.95,196.13,192.19,"2018"
"883","48A","201810",36,34.32,34.74,"2018"
"884","48B","201810",72.16,69.09,65.79,"2018"
"885","48C","201810",64.44,72.24,68.75,"2018"
"886","48D","201810",51.86,47.95,44.26,"2018"
"887","48E","201810",83.33,79.93,90.87,"2018"
"888","48F","201810",76.34,71.45,63.8,"2018"
"889","48G","201810",108.8,87.51,96.71,"2018"
"890","48H","201810",74.85,80.53,88.33,"2018"
"891","48J","201810",191.11,176.27,181.89,"2018"
"892","59A","201810",48.31,48.2,54.83,"2018"
"893","59B","201810",38.4,36.98,NA,"2018"
"894","59C","201810",81.98,80.76,79.16,"2018"
"895","59D","201810",173.26,157.19,153.9,"2018"
"896","59E","201810",91.11,87.99,102.27,"2018"
"897","59F","201810",72.08,63.32,65.25,"2018"
"898","59G","201810",56.8,51.58,50.29,"2018"
"899","59H","201810",80.74,78.09,74.69,"2018"
"900","59J","201810",96.38,103.67,99.27,"2018"
"901","10A","201811",63.34,66.78,63.38,"2018"
"902","10B","201811",93.81,89.01,92.75,"2018"
"903","10C","201811",111.85,105.62,108.4,"2018"
"904","10D","201811",97.25,96.74,97.77,"2018"
"905","10E","201811",92.25,92.86,92.97,"2018"
"906","10F","201811",99.34,96.24,95.13,"2018"
"907","10G","201811",157.45,150.97,156.7,"2018"
"908","10H","201811",102.42,101.11,98.13,"2018"
"909","10J","201811",126.97,124.09,124.62,"2018"
"910","11A","201811",65.11,70.7,67.52,"2018"
"911","11B","201811",80.88,73.51,69.9,"2018"
"912","11C","201811",74.27,70.64,72.45,"2018"
"913","11D","201811",67.96,69.81,65.13,"2018"
"914","11E","201811",107,105.57,96.93,"2018"
"915","11F","201811",92.65,93.57,89.49,"2018"
"916","11G","201811",91.02,94.35,97.59,"2018"
"917","11H","201811",81.31,87.8,82.98,"2018"
"918","11J","201811",116.38,119.46,119.4,"2018"
"919","12A","201811",40.92,42.91,44.03,"2018"
"920","12B","201811",132.34,135.33,134.47,"2018"
"921","12C","201811",55.42,56.69,57.09,"2018"
"922","12D","201811",54.82,51.68,53.91,"2018"
"923","12E","201811",83.34,84.82,84.22,"2018"
"924","12F","201811",148.91,147,142.96,"2018"
"925","12G","201811",97.51,96.4,99.49,"2018"
"926","12H","201811",83.07,82.27,82.11,"2018"
"927","12J","201811",152.11,146.36,144.53,"2018"
"928","13A","201811",38.14,37.64,38.09,"2018"
"929","13B","201811",63.55,59.26,61.1,"2018"
"930","13C","201811",81.15,79.09,76.21,"2018"
"931","13D","201811",65.33,66.92,71.05,"2018"
"932","13E","201811",123.97,127.39,117,"2018"
"933","13F","201811",100.61,100.56,99.25,"2018"
"934","13G","201811",89.26,92.51,79.72,"2018"
"935","13H","201811",135.65,129.82,135.81,"2018"
"936","13J","201811",64.78,60.26,61.29,"2018"
"937","24A","201811",57.38,64.35,58.89,"2018"
"938","24B","201811",77.29,78.85,84.96,"2018"
"939","24C","201811",64.49,73.48,71.41,"2018"
"940","24D","201811",71.1,78.8,80.56,"2018"
"941","24E","201811",117.05,106.92,106.97,"2018"
"942","24F","201811",66.47,80.13,75.61,"2018"
"943","24G","201811",90.88,93.86,88.23,"2018"
"944","24H","201811",113.7,113.89,123.42,"2018"
"945","24J","201811",125.4,129.67,130.02,"2018"
"946","35A","201811",62.85,59.97,58.5,"2018"
"947","35B","201811",108.87,99.73,100.46,"2018"
"948","35C","201811",93.6,88.82,93.85,"2018"
"949","35D","201811",64.93,63.81,70.2,"2018"
"950","35E","201811",101.57,123.82,104.6,"2018"
"951","35F","201811",69.43,66.39,68.46,"2018"
"952","35G","201811",89.48,93.89,80.76,"2018"
"953","35H","201811",143.41,141.66,139.35,"2018"
"954","35J","201811",133.81,131.28,142.65,"2018"
"955","46A","201811",60.35,55.46,69.22,"2018"
"956","46B","201811",83.47,80.46,84.5,"2018"
"957","46C","201811",65.88,69.87,68.72,"2018"
"958","46D","201811",65.15,63.79,70.18,"2018"
"959","46E","201811",122.76,104.87,115.69,"2018"
"960","46F","201811",108.64,110.27,111.72,"2018"
"961","46G","201811",189.56,182.21,183.15,"2018"
"962","46H","201811",79.8,83.29,78.68,"2018"
"963","46J","201811",150.25,145.9,153.14,"2018"
"964","47A","201811",40.99,43.65,42.88,"2018"
"965","47B","201811",58.55,64.67,64.57,"2018"
"966","47C","201811",99.77,102.44,97.65,"2018"
"967","47D","201811",83.24,86.81,83.39,"2018"
"968","47E","201811",72.08,85.36,89.43,"2018"
"969","47F","201811",67.61,69.73,74.45,"2018"
"970","47G","201811",43.5,44.13,37.93,"2018"
"971","47H","201811",86.1,88.74,84.98,"2018"
"972","47J","201811",148.82,146.56,157.23,"2018"
"973","48A","201811",44.41,44.85,38.73,"2018"
"974","48B","201811",88.18,79.63,81.77,"2018"
"975","48C","201811",92.25,90.28,83.01,"2018"
"976","48D","201811",52.43,46.22,50.17,"2018"
"977","48E","201811",94.88,106.58,120.51,"2018"
"978","48F","201811",75.18,96.22,91.4,"2018"
"979","48G","201811",102.1,111.5,113.8,"2018"
"980","48H","201811",96.35,74.01,96.64,"2018"
"981","48J","201811",226.96,254.57,276.71,"2018"
"982","59A","201811",70.75,73.62,69.03,"2018"
"983","59B","201811",45.09,47.7,NA,"2018"
"984","59C","201811",91.53,96.98,108.88,"2018"
"985","59D","201811",217.66,218.45,208.01,"2018"
"986","59E","201811",134.66,159.22,137.81,"2018"
"987","59F","201811",83.29,84.48,90.64,"2018"
"988","59G","201811",68,70.26,70.92,"2018"
"989","59H","201811",103.6,102.2,102.02,"2018"
"990","59J","201811",116.66,123.19,129.72,"2018"
"991","10A","201812",69.06,73.54,73.17,"2018"
"992","10B","201812",104.18,99.72,102.99,"2018"
"993","10C","201812",119.64,127.5,127.34,"2018"
"994","10D","201812",103.51,100.32,105.23,"2018"
"995","10E","201812",90.18,89.84,98.37,"2018"
"996","10F","201812",101.15,100.38,98.66,"2018"
"997","10G","201812",161.97,172.21,162.9,"2018"
"998","10H","201812",110.99,109.03,112.17,"2018"
"999","10J","201812",135.91,137.84,123.37,"2018"
"1000","11A","201812",72.43,72.74,71.14,"2018"
"1001","11B","201812",78.42,74.87,73.38,"2018"
"1002","11C","201812",78.2,76.83,77.93,"2018"
"1003","11D","201812",73.04,70.17,71.94,"2018"
"1004","11E","201812",105.16,106.74,102.46,"2018"
"1005","11F","201812",84.95,86.95,83.13,"2018"
"1006","11G","201812",94.84,100.84,99.96,"2018"
"1007","11H","201812",89.37,84.41,85.89,"2018"
"1008","11J","201812",117.5,119.43,115.25,"2018"
"1009","12A","201812",44.58,48.9,47.36,"2018"
"1010","12B","201812",151.11,154.27,156.56,"2018"
"1011","12C","201812",65.93,67.75,69.53,"2018"
"1012","12D","201812",53.62,55.8,56.55,"2018"
"1013","12E","201812",89.85,90.91,81.56,"2018"
"1014","12F","201812",152.69,159.55,159.72,"2018"
"1015","12G","201812",91.27,94.32,95.32,"2018"
"1016","12H","201812",81.99,85.79,85.51,"2018"
"1017","12J","201812",167.88,164.66,169.91,"2018"
"1018","13A","201812",38.88,39.03,39.72,"2018"
"1019","13B","201812",60.82,56.54,62.34,"2018"
"1020","13C","201812",75.82,76.65,75.86,"2018"
"1021","13D","201812",66.65,66.53,66.09,"2018"
"1022","13E","201812",123.06,121.6,115.94,"2018"
"1023","13F","201812",93.64,98.47,92.57,"2018"
"1024","13G","201812",90.67,87.44,85.63,"2018"
"1025","13H","201812",142.06,131.01,142,"2018"
"1026","13J","201812",62.15,62.58,59.34,"2018"
"1027","24A","201812",64.58,75.31,74.94,"2018"
"1028","24B","201812",81.32,74.68,80.71,"2018"
"1029","24C","201812",65.73,67.29,68.02,"2018"
"1030","24D","201812",83.34,83.57,91.29,"2018"
"1031","24E","201812",112.5,118.26,125.14,"2018"
"1032","24F","201812",67.72,69.74,69.39,"2018"
"1033","24G","201812",95.38,97.11,90.78,"2018"
"1034","24H","201812",116.74,132.05,117.31,"2018"
"1035","24J","201812",168.57,172.77,168.3,"2018"
"1036","35A","201812",59.07,58.91,52.94,"2018"
"1037","35B","201812",79.63,87.89,94.9,"2018"
"1038","35C","201812",86.13,84.17,85.45,"2018"
"1039","35D","201812",56.26,57.17,54.5,"2018"
"1040","35E","201812",97.86,102.92,101.61,"2018"
"1041","35F","201812",66.78,66.78,67.42,"2018"
"1042","35G","201812",81.33,70.16,80.2,"2018"
"1043","35H","201812",117.21,119.58,118.34,"2018"
"1044","35J","201812",138.33,120.24,110.53,"2018"
"1045","46A","201812",44.43,48.54,38.97,"2018"
"1046","46B","201812",62.27,59.23,62,"2018"
"1047","46C","201812",55.57,49.14,48.12,"2018"
"1048","46D","201812",52.35,54.62,49.89,"2018"
"1049","46E","201812",80.61,72.7,75.93,"2018"
"1050","46F","201812",93.38,87.46,97.65,"2018"
"1051","46G","201812",138.01,155.65,125.5,"2018"
"1052","46H","201812",57.88,59.24,62.93,"2018"
"1053","46J","201812",114.54,106.66,99.96,"2018"
"1054","47A","201812",41.98,42.57,49,"2018"
"1055","47B","201812",72.57,70.01,72.42,"2018"
"1056","47C","201812",122.75,121.91,109.86,"2018"
"1057","47D","201812",93.09,105.29,105,"2018"
"1058","47E","201812",85.12,96.68,89.38,"2018"
"1059","47F","201812",77.79,77.34,76.41,"2018"
"1060","47G","201812",47.14,43.48,46.3,"2018"
"1061","47H","201812",97.43,100.83,101.77,"2018"
"1062","47J","201812",154.52,176.19,170.16,"2018"
"1063","48A","201812",40.13,43.87,35.95,"2018"
"1064","48B","201812",75.22,71.74,69.78,"2018"
"1065","48C","201812",75.29,70.83,86.89,"2018"
"1066","48D","201812",53.08,43.63,48.45,"2018"
"1067","48E","201812",94.65,86.91,89.46,"2018"
"1068","48F","201812",77.89,66.78,82.15,"2018"
"1069","48G","201812",126.7,108.26,108.76,"2018"
"1070","48H","201812",93.78,100.93,92.69,"2018"
"1071","48J","201812",232.34,228.12,226.4,"2018"
"1072","59A","201812",66.27,59.41,56.33,"2018"
"1073","59B","201812",41.45,42.13,NA,"2018"
"1074","59C","201812",87.23,83.74,86.8,"2018"
